id,sku,brand,old_type,new_type,sub_type,changed,name
2799,EasySet Essential - Polished Warm Sunset,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 1 đường American Standard EasySet Essential - Polished Warm Sunset EasySet Essential - Polished Warm Sunset"
2800,EasySet Experience - Polished Hard Graphite,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet Experience - Polished Hard Graphite EasySet Experience - Polished Hard Graphite"
2801,EasySet Experience - Brushed Hard Graphite,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet Experience - Brushed Hard Graphite EasySet Experience - Brushed Hard Graphite"
2802,EasySet Experience - Polished Warm Sunset,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet Experience - Polished Warm Sunset EasySet Experience - Polished Warm Sunset"
2803,CT2042E,COTTO,sen-nhiet-do,cu-sen,,YES,"Củ sen tắm COTTO CT2042E nhiệt độ gắn tường Enrico"
2804,CT2085,COTTO,sen-nhiet-do,cu-sen,,YES,"Củ sen tắm COTTO CT2085 nhiệt độ gắn tường Square"
2805,CT2127E,COTTO,sen-nhiet-do,cu-sen,,YES,"Củ sen tắm COTTO CT2127E nhiệt độ gắn tường Scirocco"
3225,A806-30-1,MOEN,sen-tam,phu-kien,thanh-truot,YES,"Thanh trượt sen tắm MOEN A806-30-1"
3226,CT0138,COTTO,sen-tam,phu-kien,thanh-truot,YES,"Thanh trượt sen tắm COTTO CT0138"
3227,2244,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm tường MOEN AESIS 2244 massage nóng lạnh"
3228,M22065+120067+T66145+HK30012+A721+57948,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ sen tắm MOEN M22065 kèm 120067, T66145, HK30012, A721, 57948"
3229,34727000,GROHE,sen-am-tuong,sen-am-tuong,nhiet-do,,"Bộ sen âm tường ổn nhiệt tròn Tempesta 210 GROHE 34727000"
