id,sku,brand,product_type,product_type_de_xuat,ten_san_pham
1754,V37-CHAU+V37-CHAN,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V37-CHAU kèm V37-CHAN"
1760,V39-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V39 V39-CHAU"
1756,V39-CHAU+V39-CHAN,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V39-CHAU kèm V39-CHAN"
1762,V50-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V50 V50-CHAU"
1752,V50-CHAU+V50-CHAN,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V50-CHAU kèm V50-CHAN"
1750,V58-CHAU+V58-CHAN,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V58-CHAU kèm V58-CHAN"
1745,V63-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V63 liền khối V63-CHAU"
1747,V64-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera V64 liền khối V64-CHAU"
1757,VI5-CHAU,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera VI5 VI5-CHAU"
1755,VI5-CHAU+VI5-CHAN,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera VI5-CHAU kèm VI5-CHAN"
1749,VTL3,Viglacera,null,lavabo-treo-tuong,"Chậu rửa lavabo treo tường Viglacera VTL3"
1797,BS875,Viglacera,lavabo,???,"Mặt bàn sứ Viglacera BS875"
