lane,product_id,sku,name,category_slug,subcategory_slug,brand_name,product_type,product_sub_type,publication_status,pdp_visibility,listing_visibility,search_visibility,seo_indexing,sitemap_include,stock_status,has_primary_taxon
gach-op-lat,39482,355TT/CMG-2B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39480,355TT/CMG-3B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39483,355TT/CMG-1M,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39488,355SD/CMG-2M,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39481,355TT/CMG-2M,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39484,355TT/CMG-1B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39479,355TT/CMG-5B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39485,355SD/CMG-5B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7854,355SD/CMG-1B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39486,355SD/CMG-3B,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39490,355SD/CMG-1M,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39491,IM-50P1/DL-2,Gạch ốp tường DL-DELTA INAX IM-50P1/DL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7837,IM-50P1/DL-1,Gạch ốp tường DL-DELTA INAX IM-50P1/DL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39494,INAX-255/DPL-106V,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39493,INAX-255/DPL-107V,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39495,INAX-255/DPL-104V,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7861,INAX-255/DPL-101V,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39492,INAX-255/DPL-108V,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39496,INAX-255/DPL-103V,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39497,INAX-255/DPL-102V,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7851,INAX-325/FBM-1,Gạch ốp tường FISHBONE MOSAIC INAX-325/FBM,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39501,INAX-325/FBM-2,Gạch ốp tường FISHBONE MOSAIC INAX-325/FBM,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39500,INAX-325/FBM-3,Gạch ốp tường FISHBONE MOSAIC INAX-325/FBM,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7850,INAX-355/GLM-1,Gạch ốp tường GLAZED MOSAIC INAX-355/GLM,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39498,INAX-355/GLM-3,Gạch ốp tường GLAZED MOSAIC INAX-355/GLM,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39499,INAX-355/GLM-2,Gạch ốp tường GLAZED MOSAIC INAX-355/GLM,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39510,HAL-20BN/HB-5,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39512,HAL-20BN/HB-3,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39508,HAL-20BN/HB-7,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39509,HAL-20BN/HB-6,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39511,HAL-20BN/HB-4,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39513,HAL-20BN/HB-2,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7834,HAL-20BN/HB-1,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39507,HAL-20BR/HB-2,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39503,HAL-20BR/HB-6,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7835,HAL-20BR/HB-1,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39502,HAL-20BR/HB-7,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39504,HAL-20BR/HB-5,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39505,HAL-20BR/HB-4,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39506,HAL-20BR/HB-3,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,7862,INAX-20B/CRB-1,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39520,INAX-20B/CRB-2,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
gach-op-lat,39519,INAX-20B/CRB-5,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,gach-op-lat,gach-op-tuong,INAX,,,public,public,default,visible,index,true,in_stock,true
