product_id,sku,subcategory_slug,name,current_product_type,proposed_product_type,heuristic_reason
39462,INAX-355-VIZ-4N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39463,INAX-355-VIZ-3N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39464,INAX-355-VIZ-2N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
39465,INAX-355-VIZ-1N,gach-op-tuong,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),,gach-op-tuong,subcategory-direct-map
7855,INAX-355/EAC-1,gach-op-tuong,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,,gach-op-tuong,subcategory-direct-map
39466,INAX-355/EAC-4,gach-op-tuong,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,,gach-op-tuong,subcategory-direct-map
39467,INAX-355/EAC-3,gach-op-tuong,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,,gach-op-tuong,subcategory-direct-map
39468,INAX-355/EAC-2,gach-op-tuong,Gạch ốp tường 355/EAC-EARTH COLOR BORDER INAX-355/EAC,,gach-op-tuong,subcategory-direct-map
7849,INAX-20B/BB-1,gach-op-tuong,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,,gach-op-tuong,subcategory-direct-map
39469,INAX-20B/BB-3,gach-op-tuong,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,,gach-op-tuong,subcategory-direct-map
39470,INAX-20B/BB-2,gach-op-tuong,Gạch ốp tường BB-BAMBOO BORDER INAX-20B/BB,,gach-op-tuong,subcategory-direct-map
7838,IM-1520P1/BL-1,gach-op-tuong,Gạch ốp tường BL-BULLION BORDER INAX IM-1520P1/BL,,gach-op-tuong,subcategory-direct-map
39472,IM-1520P1/BL-2,gach-op-tuong,Gạch ốp tường BL-BULLION BORDER INAX IM-1520P1/BL,,gach-op-tuong,subcategory-direct-map
7833,HAL-155/CEF-1,gach-op-tuong,Gạch ốp tường CELAVIO E INAX HAL-155/CEF,,gach-op-tuong,subcategory-direct-map
39471,HAL-155/CEF-2,gach-op-tuong,Gạch ốp tường CELAVIO E INAX HAL-155/CEF,,gach-op-tuong,subcategory-direct-map
7832,HAL-35B/GRA-M1,gach-op-tuong,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,,gach-op-tuong,subcategory-direct-map
39475,HAL-35B/GRA-M4,gach-op-tuong,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,,gach-op-tuong,subcategory-direct-map
39476,HAL-35B/GRA-M3,gach-op-tuong,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,,gach-op-tuong,subcategory-direct-map
39477,HAL-35B/GRA-M2,gach-op-tuong,Gạch ốp tường CELAVIOGRAN A INAX HAL-35B/GRA,,gach-op-tuong,subcategory-direct-map
7845,INAX-40B/CK-1,gach-op-tuong,Gạch ốp tường CHECKER INAX-40B/CK,,gach-op-tuong,subcategory-direct-map
39473,INAX-40B/CK-6,gach-op-tuong,Gạch ốp tường CHECKER INAX-40B/CK,,gach-op-tuong,subcategory-direct-map
39474,INAX-40B/CK-3,gach-op-tuong,Gạch ốp tường CHECKER INAX-40B/CK,,gach-op-tuong,subcategory-direct-map
7854,355SD/CMG-1B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39478,355TT/CMG-4B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39479,355TT/CMG-5B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39480,355TT/CMG-3B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39481,355TT/CMG-2M,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39482,355TT/CMG-2B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39483,355TT/CMG-1M,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39484,355TT/CMG-1B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39485,355SD/CMG-5B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39486,355SD/CMG-3B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39487,355SD/CMG-4B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39488,355SD/CMG-2M,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39489,355SD/CMG-2B,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
39490,355SD/CMG-1M,gach-op-tuong,"Gạch ốp tường COOL MIST GLASS INAX-355TT,SD/CMG",,gach-op-tuong,subcategory-direct-map
7837,IM-50P1/DL-1,gach-op-tuong,Gạch ốp tường DL-DELTA INAX IM-50P1/DL,,gach-op-tuong,subcategory-direct-map
39491,IM-50P1/DL-2,gach-op-tuong,Gạch ốp tường DL-DELTA INAX IM-50P1/DL,,gach-op-tuong,subcategory-direct-map
7861,INAX-255/DPL-101V,gach-op-tuong,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,,gach-op-tuong,subcategory-direct-map
39492,INAX-255/DPL-108V,gach-op-tuong,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,,gach-op-tuong,subcategory-direct-map
39493,INAX-255/DPL-107V,gach-op-tuong,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,,gach-op-tuong,subcategory-direct-map
39494,INAX-255/DPL-106V,gach-op-tuong,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,,gach-op-tuong,subcategory-direct-map
39495,INAX-255/DPL-104V,gach-op-tuong,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,,gach-op-tuong,subcategory-direct-map
39496,INAX-255/DPL-103V,gach-op-tuong,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,,gach-op-tuong,subcategory-direct-map
39497,INAX-255/DPL-102V,gach-op-tuong,Gạch ốp tường DPL POINT COLOR INAX-255/DPL,,gach-op-tuong,subcategory-direct-map
7851,INAX-325/FBM-1,gach-op-tuong,Gạch ốp tường FISHBONE MOSAIC INAX-325/FBM,,gach-op-tuong,subcategory-direct-map
39500,INAX-325/FBM-3,gach-op-tuong,Gạch ốp tường FISHBONE MOSAIC INAX-325/FBM,,gach-op-tuong,subcategory-direct-map
39501,INAX-325/FBM-2,gach-op-tuong,Gạch ốp tường FISHBONE MOSAIC INAX-325/FBM,,gach-op-tuong,subcategory-direct-map
7850,INAX-355/GLM-1,gach-op-tuong,Gạch ốp tường GLAZED MOSAIC INAX-355/GLM,,gach-op-tuong,subcategory-direct-map
39498,INAX-355/GLM-3,gach-op-tuong,Gạch ốp tường GLAZED MOSAIC INAX-355/GLM,,gach-op-tuong,subcategory-direct-map
39499,INAX-355/GLM-2,gach-op-tuong,Gạch ốp tường GLAZED MOSAIC INAX-355/GLM,,gach-op-tuong,subcategory-direct-map
7834,HAL-20BN/HB-1,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,,gach-op-tuong,subcategory-direct-map
39508,HAL-20BN/HB-7,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,,gach-op-tuong,subcategory-direct-map
39509,HAL-20BN/HB-6,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,,gach-op-tuong,subcategory-direct-map
39510,HAL-20BN/HB-5,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,,gach-op-tuong,subcategory-direct-map
39511,HAL-20BN/HB-4,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,,gach-op-tuong,subcategory-direct-map
39512,HAL-20BN/HB-3,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,,gach-op-tuong,subcategory-direct-map
39513,HAL-20BN/HB-2,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER INAX HAL-20BN/HB,,gach-op-tuong,subcategory-direct-map
7835,HAL-20BR/HB-1,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,,gach-op-tuong,subcategory-direct-map
39502,HAL-20BR/HB-7,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,,gach-op-tuong,subcategory-direct-map
39503,HAL-20BR/HB-6,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,,gach-op-tuong,subcategory-direct-map
39504,HAL-20BR/HB-5,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,,gach-op-tuong,subcategory-direct-map
39505,HAL-20BR/HB-4,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,,gach-op-tuong,subcategory-direct-map
39506,HAL-20BR/HB-3,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,,gach-op-tuong,subcategory-direct-map
39507,HAL-20BR/HB-2,gach-op-tuong,Gạch ốp tường HOSOWARI BORDER RANDOM INAX HAL-20BR/HB,,gach-op-tuong,subcategory-direct-map
7862,INAX-20B/CRB-1,gach-op-tuong,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,,gach-op-tuong,subcategory-direct-map
39516,INAX-20B/CRB-6,gach-op-tuong,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,,gach-op-tuong,subcategory-direct-map
39517,INAX-20B/CRB-4,gach-op-tuong,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,,gach-op-tuong,subcategory-direct-map
39518,INAX-20B/CRB-3,gach-op-tuong,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,,gach-op-tuong,subcategory-direct-map
39519,INAX-20B/CRB-5,gach-op-tuong,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,,gach-op-tuong,subcategory-direct-map
39520,INAX-20B/CRB-2,gach-op-tuong,Gạch ốp tường I-Concept CERABORDER INAX-20B/CRB,,gach-op-tuong,subcategory-direct-map
7843,INAX-40B/SLT-2,gach-op-tuong,Gạch ốp tường I-Concept SLIT INAX-40B/SLT,,gach-op-tuong,subcategory-direct-map
9960,INAX-40B/SLT-1,gach-op-tuong,Gạch ốp tường I-Concept SLIT INAX-40B/SLT,,gach-op-tuong,subcategory-direct-map
39514,INAX-40B/SLT-4,gach-op-tuong,Gạch ốp tường I-Concept SLIT INAX-40B/SLT,,gach-op-tuong,subcategory-direct-map
39515,INAX-40B/SLT-3,gach-op-tuong,Gạch ốp tường I-Concept SLIT INAX-40B/SLT,,gach-op-tuong,subcategory-direct-map
7841,INAX-20B/STB-1,gach-op-tuong,Gạch ốp tường I-Concept STRIPE BORDER INAX-20B/STB,,gach-op-tuong,subcategory-direct-map
39524,INAX-20B/STB-4,gach-op-tuong,Gạch ốp tường I-Concept STRIPE BORDER INAX-20B/STB,,gach-op-tuong,subcategory-direct-map
39525,INAX-20B/STB-3,gach-op-tuong,Gạch ốp tường I-Concept STRIPE BORDER INAX-20B/STB,,gach-op-tuong,subcategory-direct-map
39526,INAX-20B/STB-2,gach-op-tuong,Gạch ốp tường I-Concept STRIPE BORDER INAX-20B/STB,,gach-op-tuong,subcategory-direct-map
7842,INAX-3040B/TRP-1,gach-op-tuong,Gạch ốp tường I-Concept TRAPE INAX-3040B/TRP,,gach-op-tuong,subcategory-direct-map
39521,INAX-3040B/TRP-4,gach-op-tuong,Gạch ốp tường I-Concept TRAPE INAX-3040B/TRP,,gach-op-tuong,subcategory-direct-map
39522,INAX-3040B/TRP-3,gach-op-tuong,Gạch ốp tường I-Concept TRAPE INAX-3040B/TRP,,gach-op-tuong,subcategory-direct-map
39523,INAX-3040B/TRP-2,gach-op-tuong,Gạch ốp tường I-Concept TRAPE INAX-3040B/TRP,,gach-op-tuong,subcategory-direct-map
7840,INAX-255/WM-1,gach-op-tuong,Gạch ốp tường I-Concept WAVY MOSAIC INAX-255/WM,,gach-op-tuong,subcategory-direct-map
39532,INAX-255/WM-4,gach-op-tuong,Gạch ốp tường I-Concept WAVY MOSAIC INAX-255/WM,,gach-op-tuong,subcategory-direct-map
39533,INAX-255/WM-3,gach-op-tuong,Gạch ốp tường I-Concept WAVY MOSAIC INAX-255/WM,,gach-op-tuong,subcategory-direct-map
39534,INAX-255/WM-2,gach-op-tuong,Gạch ốp tường I-Concept WAVY MOSAIC INAX-255/WM,,gach-op-tuong,subcategory-direct-map
7867,INAX-2I/IMM-1,gach-op-tuong,Gạch ốp tường Imperial Mosaic INAX-2I/IMM (INAX2IIMM),,gach-op-tuong,subcategory-direct-map
39527,INAX-2I/IMM-6,gach-op-tuong,Gạch ốp tường Imperial Mosaic INAX-2I/IMM (INAX2IIMM),,gach-op-tuong,subcategory-direct-map
39528,INAX-2I/IMM-5,gach-op-tuong,Gạch ốp tường Imperial Mosaic INAX-2I/IMM (INAX2IIMM),,gach-op-tuong,subcategory-direct-map
39529,INAX-2I/IMM-4,gach-op-tuong,Gạch ốp tường Imperial Mosaic INAX-2I/IMM (INAX2IIMM),,gach-op-tuong,subcategory-direct-map
39530,INAX-2I/IMM-3,gach-op-tuong,Gạch ốp tường Imperial Mosaic INAX-2I/IMM (INAX2IIMM),,gach-op-tuong,subcategory-direct-map
39531,INAX-2I/IMM-2,gach-op-tuong,Gạch ốp tường Imperial Mosaic INAX-2I/IMM (INAX2IIMM),,gach-op-tuong,subcategory-direct-map
7844,INAX-40B/KH-4,gach-op-tuong,Gạch ốp tường KAIHA INAX-40B/KH,,gach-op-tuong,subcategory-direct-map
9961,INAX-40B/KH-2,gach-op-tuong,Gạch ốp tường KAIHA INAX-40B/KH,,gach-op-tuong,subcategory-direct-map
39538,INAX-40B/KH-5,gach-op-tuong,Gạch ốp tường KAIHA INAX-40B/KH,,gach-op-tuong,subcategory-direct-map
7852,INAX-300/LTC-11,gach-op-tuong,Gạch ốp tường LATTICE INAX-300/LTC,,gach-op-tuong,subcategory-direct-map
39535,INAX-300/LTC-14,gach-op-tuong,Gạch ốp tường LATTICE INAX-300/LTC,,gach-op-tuong,subcategory-direct-map
39536,INAX-300/LTC-13,gach-op-tuong,Gạch ốp tường LATTICE INAX-300/LTC,,gach-op-tuong,subcategory-direct-map
39537,INAX-300/LTC-12,gach-op-tuong,Gạch ốp tường LATTICE INAX-300/LTC,,gach-op-tuong,subcategory-direct-map
7831,HAL-R/MAL-1,gach-op-tuong,Gạch ốp tường MELVIO ALDEA INAX HAL-R/MAL,,gach-op-tuong,subcategory-direct-map
39539,HAL-R/MAL-3,gach-op-tuong,Gạch ốp tường MELVIO ALDEA INAX HAL-R/MAL,,gach-op-tuong,subcategory-direct-map
