lane,product_id,sku,name,subcategory_slug,current_product_type,proposed_product_type,taxon_id,proposed_primary_taxon_slug,proposed_primary_taxon_path
vat-lieu-nuoc,485,CHP-671R,Máy lọc nước Coway Core CHP-671R nóng lạnh,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,486,CHP-264L,Máy lọc nước Neo Plus Coway CHP-264L,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,487,ADD8980,Máy lọc nước RO 3 chế độ nước bộ lọc khoáng 4 trong 1 Philips ADD8980,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,488,ADD6910,Máy lọc nước RO lõi lọc 5 thành phần và khử trùng UV Philips ADD6910,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,489,AUT2015,Máy lọc nước RO để gầm Philips AUT2015/3015,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,490,ADD8970/74,Máy lọc nước RO 6 lõi lọc Philips ADD8970/74,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,491,ADD8976,Máy lọc nước RO 9 lõi lọc Philips ADD8976,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,492,AWP3753/98,Bộ lọc nước tại vòi Philips AWP3753/98,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,493,AWP1775WH/74,Bộ lọc nước vòi sen Philips AWP1775WH/74,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,494,AWP2712RDR/97,Bình nước cầm tay  Bottle GoZero Philips AWP2712,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,495,AWP2788GN/74,Bình giữ nhiệt diệt khuẩn UV Smart Philips AWP2788,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5321,MPOE-S4,Hệ thống lọc tổng Mitsubishi Cleansui MPOE-S4 4 bộ lọc,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5322,KTF-662-AIO,Máy lọc tổng đầu nguồn Karofi KTF-662-AIO,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5323,ULTIMA-WHITE,Máy Lọc Nước Unilever Pureit Ultima 7 Cấp Lọc,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5324,Lavita,Máy Lọc Nước Unilever Pureit LAVITA Lọc  Sạch & Làm Nóng Thông Minh (công suất lọc 4000L),loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5325,DELICA UR5640,Máy Lọc Nước Âm Tủ Bếp Unilever Pureit DELICA UR5640 (công suất lọc 14000L),loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5326,CASA-GKK,Bộ lọc diệt khuẩn cho máy CASA Unilever Pureit CASA-GKK,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5327,Ultima-GKK1,Bộ lọc thay thế cho máy Ultima Unilever Pureit,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5328,LAVITA-CTO,Bộ lọc thay thế cho máy LAVITA Unilever Pureit,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5329,DELICA-CTO,Bộ lọc thay thế cho máy DELICA UR5640 Unilever Pureit,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5330,DELICA UR5840,Máy Lọc Nước Âm Tủ Bếp Unilever Pureit DELICA UR5840 (công suất lọc 18000L),loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5331,DELICA UR5440,Máy Lọc Nước Âm Tủ Bếp Unilever Pureit DELICA UR5440 (công suất lọc 11000L),loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5332,TANKA UR3140,Máy Lọc Nước Âm Tủ Bếp Pure It TANKA UR3140 (công suất lọc 5000L),loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5333,EXCELLA-GKK,Gói thiết bị diệt khuẩn công suất 3000L Unilever Pureit EXCELLA-GKK,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5334,DELICA-UR5440-CTO,Bộ lọc thay thế cho máy DELICA UR5440 Unilever Pureit,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5335,TANKA-UR3140-PCM,Bộ lọc thay thế cho máy TANKA UR3140 Unilever Pureit,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5336,DELICA-UR5840-CTO,Bộ lọc thay thế cho máy DELICA UR5840 Unilever Pureit,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5337,SA8 PREMIUM,Máy lọc nước Karofi SA8 PREMIUM nóng lạnh Hydro-ion kiềm,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,5338,DA8 PREMIUM,Máy lọc nước Karofi DA8 PREMIUM Hydro-ion kiềm,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,442,GP-10HCN1SVN,Máy bơm ly tâm 740W-1480W Panasonic GP-10HCN1SVN / GP-15HCN1SVN /  GP-20HCN1SVN,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,443,A-130JAK,Máy bơm Panasonic tăng áp 125W A-130JAK,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,444,A-200JAK,Máy bơm Panasonic tăng áp 200W A-200JAK,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,445,GA-125FAK,Máy bơm Panasonic tăng áp 125W GA-125FAK,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,446,A-130JTX,Máy bơm Panasonic tăng áp 125W tạo bọt khí A-130JTX,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,447,A-130JACK,Máy bơm Panasonic tăng áp 125W A-130JACK,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,448,GP-129JXK-SV5,Máy bơm Panasonic đẩy cao 125W GP-129JXK-SV5 / GP-129JXK-NV5,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,449,GP-200JXK-SV5,Máy bơm Panasonic đẩy cao 200W GP-200JXK-SV5 / GP-200JXK-NV5,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,450,GP-250JXK-SV5,Máy bơm Panasonic đẩy cao 250W GP-250JXK-SV5 / GP-250JXK-NV5,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,451,NJET750,Máy bơm đầu JET 750W Nanoco NJET750,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,452,NCP750,Máy bơm ly tâm 750W Nanoco NCP750,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,453,NHF1500,Máy bơm lưu lượng 750W Nanoco NHF750 NHF1500,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,454,NSP128,Máy bơm nước đẩy cao Nanoco NSP128,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,455,NDK1100,Máy bơm lưu lượng Nanoco NDK1100 / NDK1500,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,456,NCPS128-A,Máy bơm nước nóng tăng áp điện tử Nanoco NCPS128-A / NCPS200-A / NCPS300-A / NCPS400-A,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,457,GA-200FAH,Máy bơm Panasonic tăng áp 200W GA-200FAH,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,458,NCLP550,Máy bơm nước đẩy cao Nanoco NCLP750 / NCLP550,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,459,NCPS250-AT,Máy bơm nước nóng lạnh tăng áp điện tử Nanoco NCPS250-AT / NCPS750-AT / NCPS550-AT / NCPS370-AT,may-bom-nuoc,,may-bom-nuoc,,,
vat-lieu-nuoc,460,NIP400,Máy bơm nước tăng áp biến tần Nanoco NIP400 / NIP600,may-bom-nuoc,,may-bom-nuoc,,,
gach-op-lat,39435,ECP-25NET-LUX-13,Gạch nội thất ECOCARAT PLUS LUXURY MOSAIC INAX ECP-25NET/LUX,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39437,ECP-60NET/PMK12,Gạch nội thất ECOCARAT PLUS PEARL MASK INAX ECP-60NET/PMK,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39438,ECP-375/RTZ3N,Gạch nội thất ECOCARAT PLUS ROUGH QUARTZ INAX ECP-375/RTZ,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39439,ECP-375/RTZ2N,Gạch nội thất ECOCARAT PLUS ROUGH QUARTZ INAX ECP-375/RTZ,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39440,ECP-303/RBM3N,Gạch nội thất ECOCARAT PLUS RIBMIX INAX ECP-303/RBM,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39441,ECP-630/STG-4N,Gạch nội thất ECOCARAT PLUS STONE GRACE INAX ECP-630/STG,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39442,ECP-275NET/RGS3,Gạch nội thất ECOCARAT PLUS ROUGHSAWN INAX ECP-275/RGS,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39443,ECP-275NET/RGS2,Gạch nội thất ECOCARAT PLUS ROUGHSAWN INAX ECP-275/RGS,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39444,ECO-30NET/WE3NN,Gạch nội thất ECOCARAT PLUS VELE INAX ECP-30NET/WE,gach-inax-ecocarat,,,35,gach-inax-ecocarat,gach-op-lat/gach-inax-ecocarat
gach-op-lat,39434,INAX-1025/POL-G1/G2/G3,"Gạch hồ bơi INAX 22.5 x 22.5 1025/POL-B1,2,3:G1,2,3",gach-op-lat,,,31,gach-op-lat,gach-op-lat/gach-op-lat
gach-op-lat,39436,INAX-97/POL-G1/G2/G3,"Gạch hồ bơi INAX 97 x 97 97/POL-B1,2,3: G1,2,3",gach-op-lat,,,31,gach-op-lat,gach-op-lat/gach-op-lat
gach-op-lat,39445,INAX-1525/EAC-4,Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39446,INAX-1525/EAC-3,Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39447,INAX-1525/EAC-2,Gạch ốp tường 1525/EAC-EARTH COLOR BORDER INAX-1525/EAC,gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39448,INAX-255/VIZ-10,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39449,INAX-255/VIZ-9,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39450,INAX-255/VIZ-8,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39451,INAX-255/VIZ-7,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39452,INAX-255/VIZ-6,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39453,INAX-255/VIZ-5,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39454,INAX-255/VIZ-4,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39455,INAX-255/VIZ-3,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39456,INAX-255/VIZ-2,Gạch ốp tường 255-VIZ INAX-255VIZ (INAX255VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39457,INAX-355-VIZ-9N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
gach-op-lat,39458,INAX-355-VIZ-8N,Gạch ốp tường 355-VIZ INAX-355VIZ (INAX355VIZ),gach-op-tuong,,,32,gach-op-tuong,gach-op-lat/gach-op-tuong
