id,sku,brand,variant_group,old_name,new_name,old_slug,new_slug,changed
2695,"TBV11130A/TBN11DC0A/TBW15CE0A/TBW15CB0A/TBN01002B/","TOTO","TBV11130A","Set sen tắm âm tường 3 đường nước nhiệt độ G Series TOTO TBW15CB0A TBV11130A/TBN11DC0A/TBW15CE0A/TBW15CB0A/TBN01002B/TBW160V0A/TBW160N0A","Set sen tắm TOTO TBV11130A kèm van TBN11DC0A, bát sen TBW15CE0A, bát sen TBW15CB0A, van TBN01002B","set-sen-tam-am-tuong-3-duong-nuoc-nhiet-do-g-series-toto-tbw15cb0a-tbv11130atbn11dc0atbw15ce0atbw15cb0atbn01002btbw160v0atbw160n0a","set-sen-tam-toto-tbv11130a-kem-van-tbn11dc0a-bat-sen-tbw15ce0a-bat-sen-tbw15cb0a-van-tbn01002b",YES
589,"TBW01001BA/TBS02302V/TBW01008A","TOTO","TBS02302V","Bộ sen cây nóng lạnh TOTO TBW01001BA TBS02302V TBW01008A TBW01001BA/TBS02302V/TBW01008A","Bộ sen cây nóng lạnh TOTO TBS02302V kèm bát sen TBW01001BA, bát sen TBW01008A","bo-sen-cay-nong-lanh-toto-tbw01001ba-tbs02302v-tbw01008a-tbw01001batbs02302vtbw01008a","bo-sen-cay-nong-lanh-toto-tbs02302v-kem-bat-sen-tbw01001ba-bat-sen-tbw01008a",YES
587,"TBW01002BA/TBG01302VA/TBW01010A","TOTO","TBG01302VA","Bộ sen cây nóng lạnh TOTO TBW01002BA TBG01302VA TBW01010A TBW01002BA/TBG01302VA/TBW01010A","Bộ sen cây nóng lạnh TOTO TBG01302VA kèm bát sen TBW01002BA, bát sen TBW01010A","bo-sen-cay-nong-lanh-toto-tbw01002ba-tbg01302va-tbw01010a-tbw01002batbg01302vatbw01010a","bo-sen-cay-nong-lanh-toto-tbg01302va-kem-bat-sen-tbw01002ba-bat-sen-tbw01010a",YES
588,"TBW01002BA/TBG03302VA/TBW01010A","TOTO","TBG03302VA","Bộ sen cây nóng lạnh TOTO TBW01002BA TBG03302VA TBW01010A TBW01002BA/TBG03302VA/TBW01010A","Bộ sen cây nóng lạnh TOTO TBG03302VA kèm bát sen TBW01002BA, bát sen TBW01010A","bo-sen-cay-nong-lanh-toto-tbw01002ba-tbg03302va-tbw01010a-tbw01002batbg03302vatbw01010a","bo-sen-cay-nong-lanh-toto-tbg03302va-kem-bat-sen-tbw01002ba-bat-sen-tbw01010a",YES
2673,"TBW01003A/TBG01001B/TBS04304B","TOTO","TBG01001B","Set sen tắm âm tường 2 đường nước nóng lạnh TOTO TBW01003A TBW01003A/TBG01001B/TBS04304B","Set sen tắm TOTO TBG01001B kèm bát sen TBW01003A, vòi sen TBS04304B","set-sen-tam-am-tuong-2-duong-nuoc-nong-lanh-toto-tbw01003a-tbw01003atbg01001btbs04304b","set-sen-tam-toto-tbg01001b-kem-bat-sen-tbw01003a-voi-sen-tbs04304b",YES
2668,"TBW01003A/TBV01407B/TBN01001B","TOTO","TBW01003A","Set sen tắm âm tường 1 đường nước nhiệt độ TOTO TBW01003A TBV01407B TBN01001B TBW01003A/TBV01407B/TBN01001B","Set sen tắm TOTO TBW01003A kèm van TBV01407B, van TBN01001B","set-sen-tam-am-tuong-1-duong-nuoc-nhiet-do-toto-tbw01003a-tbv01407b-tbn01001b-tbw01003atbv01407btbn01001b","set-sen-tam-toto-tbw01003a-kem-van-tbv01407b-van-tbn01001b",YES
2150,"TBW01003A/TBW01010A/TBW01014B/TBG01001B/TBW07017A(","TOTO","TBG01001B","Set sen tắm âm tường 3 đường nước nhiệt độ TOTO TBW01003A TBW07017A TBW01003A/TBW01010A/TBW01014B/TBG01001B/TBW07017A(x4)/TBV02105B/TBN01001B/TBV02402B/TBN01001B","Set sen tắm TOTO TBG01001B kèm bát sen TBW01003A, bát sen TBW01010A, bát sen TBW01014B, bát sen TBW07017A(","set-sen-tam-am-tuong-3-duong-nuoc-nhiet-do-toto-tbw01003a-tbw07017a-tbw01003atbw01010atbw01014btbg01001btbw07017ax4tbv02105btbn01001btbv02402btbn01001b","set-sen-tam-toto-tbg01001b-kem-bat-sen-tbw01003a-bat-sen-tbw01010a-bat-sen-tbw01014b-bat-sen-tbw07017a",YES
2147,"TBW01003A/TBW01010A/TBW01016B/TBW01014B/TBG01001B/","TOTO","TBG01001B","Set sen tắm âm tường 3 đường nước nhiệt độ TOTO TBW01003A TBW01003A/TBW01010A/TBW01016B/TBW01014B/TBG01001B/TBV01102B/TBN01101B/TBV01406B/TBN01001B","Set sen tắm TOTO TBG01001B kèm bát sen TBW01003A, bát sen TBW01010A, bát sen TBW01016B, bát sen TBW01014B","set-sen-tam-am-tuong-3-duong-nuoc-nhiet-do-toto-tbw01003a-tbw01003atbw01010atbw01016btbw01014btbg01001btbv01102btbn01101btbv01406btbn01001b","set-sen-tam-toto-tbg01001b-kem-bat-sen-tbw01003a-bat-sen-tbw01010a-bat-sen-tbw01016b-bat-sen-tbw01014b",YES
2678,"TBW01003A/TBW01010A/TBW01016B/TBW01014B/TBV01408B/","TOTO","TBW01003A","Set sen tắm âm tường 2 đường nước nhiệt độ TOTO TBW01003A TBW01010A TBW01003A/TBW01010A/TBW01016B/TBW01014B/TBV01408B/TBN01001B","Set sen tắm TOTO TBW01003A kèm bát sen TBW01010A, bát sen TBW01016B, bát sen TBW01014B, van TBV01408B","set-sen-tam-am-tuong-2-duong-nuoc-nhiet-do-toto-tbw01003a-tbw01010a-tbw01003atbw01010atbw01016btbw01014btbv01408btbn01001b","set-sen-tam-toto-tbw01003a-kem-bat-sen-tbw01010a-bat-sen-tbw01016b-bat-sen-tbw01014b-van-tbv01408b",YES
2664,"TBW01004A/TBV01407B/TBN01001B","TOTO","TBW01004A","Set sen tắm âm tường 1 đường nước nhiệt độ TOTO TBW01004A TBV01407B TBN01001B TBW01004A/TBV01407B/TBN01001B","Set sen tắm TOTO TBW01004A kèm van TBV01407B, van TBN01001B","set-sen-tam-am-tuong-1-duong-nuoc-nhiet-do-toto-tbw01004a-tbv01407b-tbn01001b-tbw01004atbv01407btbn01001b","set-sen-tam-toto-tbw01004a-kem-van-tbv01407b-van-tbn01001b",YES
