sku,brand,subcategory,old_name,new_name,old_slug,new_slug,slug_changed
"TAMAYA PB BL/A/90","Elica","may-hut-mui","Máy hút mùi áp tường ELICA TAMAYA PB IX/A/60(90) BL/A/60(90) TAMAYA PB BL/A/90","Máy hút mùi áp tường ELICA TAMAYA PB IX/A/60(90) BL/A/60(90)","may-hut-mui-ap-tuong-elica-tamaya-pb-ixa6090-bla6090-tamaya-pb-bla90","may-hut-mui-ap-tuong-elica-tamaya-pb-ixa6090-bla6090",YES
"THIN ISLAND IX/A/120","Elica","may-hut-mui","Máy hút mùi đảo ELICA THIN ISLAND IX/A/120 THIN ISLAND IX/A/120","Máy hút mùi đảo ELICA THIN ISLAND IX/A/120","may-hut-mui-dao-elica-thin-island-ixa120-thin-island-ixa120","may-hut-mui-dao-elica-thin-island-ixa120",YES
"TRIBE ISLAND IX/A/90X60","Elica","may-hut-mui","Máy hút mùi đảo ELICA TRIBE ISLAND IX/A/90X60 TRIBE ISLAND IX/A/90X60","Máy hút mùi đảo ELICA TRIBE ISLAND IX/A/90X60","may-hut-mui-dao-elica-tribe-island-ixa90x60-tribe-island-ixa90x60","may-hut-mui-dao-elica-tribe-island-ixa90x60",YES
"TUBE IX/A/43","Elica","may-hut-mui","Máy hút mùi áp tường ELICA TUBE IX/A/43 TUBE IX/A/43","Máy hút mùi áp tường ELICA TUBE IX/A/43","may-hut-mui-ap-tuong-elica-tube-ixa43-tube-ixa43","may-hut-mui-ap-tuong-elica-tube-ixa43",YES
"NK24C5070US/UR","SAMSUNG","may-hut-mui","Máy hút mùi áp tường Samsung Bespoke NK24C5070US/UR NK24C5070US/UR","Máy hút mùi áp tường Samsung Bespoke NK24C5070US/UR","may-hut-mui-ap-tuong-samsung-bespoke-nk24c5070usur-nk24c5070usur","may-hut-mui-ap-tuong-samsung-bespoke-nk24c5070usur",YES
"NK24M1030IS/UR","SAMSUNG","may-hut-mui","Máy hút mùi âm tủ Samsung Bespoke NK24M1030IS/UR NK24M1030IS/UR","Máy hút mùi âm tủ Samsung Bespoke NK24M1030IS/UR","may-hut-mui-am-tu-samsung-bespoke-nk24m1030isur-nk24m1030isur","may-hut-mui-am-tu-samsung-bespoke-nk24m1030isur",YES
"NK36CB665WWHSV","SAMSUNG","may-hut-mui","Máy hút mùi áp tường Samsung Bespoke NK36CB665WWHSV NK36CB665WWHSV","Máy hút mùi áp tường Samsung Bespoke NK36CB665WWHSV","may-hut-mui-ap-tuong-samsung-bespoke-nk36cb665wwhsv-nk36cb665wwhsv","may-hut-mui-ap-tuong-samsung-bespoke-nk36cb665wwhsv",YES
"3687025","Ariston","may-nuoc-nong","Thanh đốt cho máy nước nóng năng lượng mặt trời Ariston 3687025 3687025","Thanh đốt cho máy nước nóng năng lượng mặt trời Ariston 3687025","thanh-dot-cho-may-nuoc-nong-nang-luong-mat-troi-ariston-3687025-3687025","thanh-dot-cho-may-nuoc-nong-nang-luong-mat-troi-ariston-3687025",YES
"AuresEasy4.5P","Ariston","may-nuoc-nong","Máy nước nóng trực tiếp Aures Easy Ariston AuresEasy4.5P","Máy nước nóng trực tiếp Aures Easy Ariston","may-nuoc-nong-truc-tiep-aures-easy-ariston-aureseasy45p","may-nuoc-nong-truc-tiep-aures-easy-ariston",YES
"AuresPremium+4.5P","Ariston","may-nuoc-nong","Máy nước nóng trực tiếp Aures Premium+ Ariston AuresPremium+4.5P","Máy nước nóng trực tiếp Aures Premium+ Ariston","may-nuoc-nong-truc-tiep-aures-premium-ariston-aurespremium45p","may-nuoc-nong-truc-tiep-aures-premium-ariston",YES
"AuresPremium4.5","Ariston","may-nuoc-nong","Máy nước nóng trực tiếp Aures Premium Ariston AuresPremium4.5","Máy nước nóng trực tiếp Aures Premium Ariston","may-nuoc-nong-truc-tiep-aures-premium-ariston-aurespremium45","may-nuoc-nong-truc-tiep-aures-premium-ariston",YES
